ImageId,Label
1,0
2,0
3,7
4,7
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,7
14,0
15,7
16,3
17,3
18,1
19,7
20,0
21,7
22,1
23,1
24,5
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,0
33,7
34,2
35,7
36,7
37,7
38,5
39,1
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,2
49,7
50,7
51,7
52,7
53,1
54,3
55,7
56,7
57,1
58,2
59,7
60,0
61,7
62,1
63,7
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,7
72,5
73,7
74,7
75,7
76,7
77,3
78,7
79,7
80,3
81,5
82,7
83,1
84,0
85,7
86,2
87,7
88,3
89,7
90,7
91,2
92,0
93,2
94,7
95,1
96,7
97,3
98,7
99,7
100,7
101,0
102,7
103,2
104,0
105,7
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,7
114,7
115,1
116,7
117,1
118,1
119,5
120,3
121,3
122,7
123,7
124,1
125,7
126,3
127,7
128,7
129,7
130,7
131,3
132,5
133,7
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,7
142,3
143,7
144,5
145,5
146,7
147,7
148,7
149,2
150,7
151,7
152,3
153,5
154,7
155,5
156,3
157,7
158,7
159,7
160,7
161,3
162,0
163,7
164,7
165,1
166,3
167,7
168,7
169,3
170,0
171,0
172,7
173,7
174,7
175,1
176,3
177,7
178,7
179,1
180,7
181,7
182,3
183,5
184,0
185,7
186,7
187,7
188,1
189,7
190,0
191,7
192,1
193,7
194,7
195,7
196,0
197,7
198,7
199,0
200,7
201,1
202,7
203,0
204,7
205,7
206,0
207,7
208,7
209,7
210,7
211,0
212,7
213,3
214,7
215,7
216,7
217,1
218,7
219,3
220,7
221,7
222,3
223,1
224,0
225,7
226,7
227,7
228,7
229,1
230,0
231,0
232,7
233,7
234,1
235,7
236,3
237,3
238,3
239,7
240,7
241,7
242,7
243,3
244,7
245,5
246,5
247,7
248,7
249,3
250,7
251,7
252,7
253,1
254,3
255,7
256,7
257,3
258,1
259,7
260,3
261,7
262,3
263,3
264,5
265,7
266,0
267,7
268,7
269,7
270,1
271,7
272,0
273,7
274,3
275,7
276,7
277,1
278,7
279,7
